lat,lon
52.36562,4.871835
52.365486,4.871589
52.365462,4.871937
52.365367,4.872459
52.365317,4.871702
52.365078,4.871512
52.365013,4.871261
52.364949,4.871058
52.368671,4.980035
52.357584,4.96913
52.357556,4.969416
52.357543,4.969776
52.381482,4.965852
52.381461,4.965919
52.381424,4.965967
52.381393,4.966028
52.381285,4.966052
52.38124,4.966118
52.381192,4.966267
52.381147,4.966268
52.381127,4.966325
52.38108,4.966349
52.381045,4.966402
52.380984,4.966411
52.380945,4.966556
52.380901,4.966582
52.380857,4.966574
52.380762,4.966671
52.38074,4.966739
52.380682,4.966794
52.380649,4.966859
52.380614,4.966896
52.380596,4.966975
52.38105,4.965735
52.381147,4.965672
52.381237,4.965633
52.381208,4.966193
52.380766,4.966468
52.380578,4.967069
52.381323,4.965607
52.370238,4.916776
52.370165,4.916994
52.370031,4.917371
52.369941,4.917644
52.36986,4.917889
52.369774,4.918117
52.372342,4.912624
52.372413,4.912632
52.372506,4.912695
52.372571,4.912725
52.424542,4.858145
52.424439,4.858133
52.424277,4.858113
52.424122,4.858098
52.423975,4.858074
52.423811,4.858114
52.423663,4.858205
52.351105,4.911365
52.35106,4.911221
52.350829,4.911497
52.35079,4.911435
52.3513,4.911184
52.351072,4.911298
52.373012,4.945634
52.372965,4.945199
52.373067,4.946129
52.373118,4.946555
52.383657,4.86136
52.383529,4.861453
52.383379,4.861544
52.383185,4.861686
52.343314,4.848195
52.34318,4.848063
52.343004,4.847905
52.342845,4.847743
52.342706,4.84764
52.342683,4.849148
52.337487,4.795663
52.337365,4.795778
52.366682,4.927862
52.366685,4.92886
52.366686,4.929118
52.366674,4.929325
52.366673,4.928616
52.366669,4.928126
52.366674,4.928381
52.379838,4.889853
52.379618,4.890516
52.379494,4.89111
52.367387,4.918446
52.367125,4.918944
52.367058,4.918935
52.366881,4.919314
52.34952,4.906673
52.366815,4.944847
52.366811,4.943994
52.366819,4.94505
52.366808,4.944244
52.366793,4.944533
52.366788,4.943764
52.345218,4.849348
52.345076,4.849226
52.372945,4.945044
52.372902,4.94464
52.372849,4.944132
52.372798,4.943676
52.370027,4.922396
52.370002,4.92245
52.341377,4.848098
52.341407,4.848304
52.3414,4.848647
52.341381,4.849096
52.341362,4.84843
52.341332,4.848845
52.341321,4.847814
52.341307,4.848139
52.341298,4.849123
52.34128,4.84856
52.341259,4.848881
52.341243,4.847791
52.341226,4.848295
52.341206,4.848575
52.341205,4.849133
52.341152,4.848308
52.341159,4.848912
52.341122,4.847725
52.341127,4.849125
52.341102,4.848031
52.341095,4.848577
52.34108,4.84888
52.341053,4.847729
52.341041,4.848278
52.341024,4.848563
52.340996,4.84799
52.341005,4.849094
52.340947,4.847712
52.340962,4.848275
52.340969,4.848877
52.340945,4.849136
52.340932,4.848667
52.340918,4.848039
52.340907,4.848973
52.340862,4.847744
52.340889,4.848441
52.340851,4.848228
52.34084,4.8488
52.340809,4.848536
52.340802,4.847985
52.340764,4.848206
52.340759,4.847729
52.340755,4.849111
52.340718,4.847881
52.340706,4.848864
52.340636,4.848533
52.340594,4.848275
52.340572,4.84771
52.340577,4.848003
52.345439,4.782196
52.345304,4.782542
52.378053,4.869123
52.377888,4.869186
52.377743,4.86925
52.401705,4.902317
52.401619,4.902497
